layer_name,layer_block
features.6.conv.1.2.ReLU6,none
features.6.conv.2.Conv2d,block6
features.6.conv.3.BatchNorm2d,block6
features.7.InvertedResidual,none
features.7.conv.Sequential,none
features.7.conv.0.ConvNormActivation,none
features.7.conv.0.0.Conv2d,none
features.7.conv.0.1.BatchNorm2d,none
features.7.conv.0.2.ReLU6,none
features.7.conv.1.ConvNormActivation,none
features.7.conv.1.0.Conv2d,none
features.7.conv.1.1.BatchNorm2d,none
features.7.conv.1.2.ReLU6,none
features.7.conv.2.Conv2d,block7
features.7.conv.3.BatchNorm2d,block7
features.8.InvertedResidual,none
features.8.conv.Sequential,none
features.8.conv.0.ConvNormActivation,none
features.8.conv.0.0.Conv2d,none
features.8.conv.0.1.BatchNorm2d,none
features.8.conv.0.2.ReLU6,none
features.8.conv.1.ConvNormActivation,none
features.8.conv.1.0.Conv2d,none
features.8.conv.1.1.BatchNorm2d,none
features.8.conv.1.2.ReLU6,none
features.8.conv.2.Conv2d,block8
features.8.conv.3.BatchNorm2d,block8
features.9.InvertedResidual,none
features.9.conv.Sequential,none
features.9.conv.0.ConvNormActivation,none
features.9.conv.0.0.Conv2d,none
features.9.conv.0.1.BatchNorm2d,none
features.9.conv.0.2.ReLU6,none
features.9.conv.1.ConvNormActivation,none
features.9.conv.1.0.Conv2d,none
features.9.conv.1.1.BatchNorm2d,none
features.9.conv.1.2.ReLU6,none
features.9.conv.2.Conv2d,block9
features.9.conv.3.BatchNorm2d,block9
features.10.InvertedResidual,none
features.10.conv.Sequential,none
features.10.conv.0.ConvNormActivation,none
features.10.conv.0.0.Conv2d,none
features.10.conv.0.1.BatchNorm2d,none
features.10.conv.0.2.ReLU6,none
features.10.conv.1.ConvNormActivation,none
features.10.conv.1.0.Conv2d,none
features.10.conv.1.1.BatchNorm2d,none
features.10.conv.1.2.ReLU6,none
features.10.conv.2.Conv2d,block10
features.10.conv.3.BatchNorm2d,block10
features.11.InvertedResidual,none
features.11.conv.Sequential,none
features.11.conv.0.ConvNormActivation,none
features.11.conv.0.0.Conv2d,none
features.11.conv.0.1.BatchNorm2d,none
features.11.conv.0.2.ReLU6,none
features.11.conv.1.ConvNormActivation,none
features.11.conv.1.0.Conv2d,none
features.11.conv.1.1.BatchNorm2d,none
features.11.conv.1.2.ReLU6,none
features.11.conv.2.Conv2d,block11
features.11.conv.3.BatchNorm2d,block11
features.12.InvertedResidual,none
features.12.conv.Sequential,none
features.12.conv.0.ConvNormActivation,none
features.12.conv.0.0.Conv2d,none
features.12.conv.0.1.BatchNorm2d,none
features.12.conv.0.2.ReLU6,none
features.12.conv.1.ConvNormActivation,none
features.12.conv.1.0.Conv2d,none
features.12.conv.1.1.BatchNorm2d,none
features.12.conv.1.2.ReLU6,none
features.12.conv.2.Conv2d,block12
features.12.conv.3.BatchNorm2d,block12
features.13.InvertedResidual,none
features.13.conv.Sequential,none
features.13.conv.0.ConvNormActivation,none
features.13.conv.0.0.Conv2d,none
features.13.conv.0.1.BatchNorm2d,none
features.13.conv.0.2.ReLU6,none
features.13.conv.1.ConvNormActivation,none
features.13.conv.1.0.Conv2d,none
features.13.conv.1.1.BatchNorm2d,none
features.13.conv.1.2.ReLU6,none
features.13.conv.2.Conv2d,block13
features.13.conv.3.BatchNorm2d,block13
features.14.InvertedResidual,none
features.14.conv.Sequential,none
features.14.conv.0.ConvNormActivation,none
features.14.conv.0.0.Conv2d,none
features.14.conv.0.1.BatchNorm2d,none
features.14.conv.0.2.ReLU6,none
features.14.conv.1.ConvNormActivation,none
features.14.conv.1.0.Conv2d,none
features.14.conv.1.1.BatchNorm2d,none
features.14.conv.1.2.ReLU6,none
features.14.conv.2.Conv2d,block14
features.14.conv.3.BatchNorm2d,block14
features.15.InvertedResidual,none
features.15.conv.Sequential,none
features.15.conv.0.ConvNormActivation,none
features.15.conv.0.0.Conv2d,none
features.15.conv.0.1.BatchNorm2d,none
features.15.conv.0.2.ReLU6,none
features.15.conv.1.ConvNormActivation,none
features.15.conv.1.0.Conv2d,none
features.15.conv.1.1.BatchNorm2d,none
features.15.conv.1.2.ReLU6,none
features.15.conv.2.Conv2d,block15
features.15.conv.3.BatchNorm2d,block15
features.16.InvertedResidual,none
features.16.conv.Sequential,none
features.16.conv.0.ConvNormActivation,none
features.16.conv.0.0.Conv2d,none
features.16.conv.0.1.BatchNorm2d,none
features.16.conv.0.2.ReLU6,none
features.16.conv.1.ConvNormActivation,none
features.16.conv.1.0.Conv2d,none
features.16.conv.1.1.BatchNorm2d,none
features.16.conv.1.2.ReLU6,none
features.16.conv.2.Conv2d,block16
features.16.conv.3.BatchNorm2d,block16
features.17.InvertedResidual,none
features.17.conv.Sequential,none
features.17.conv.0.ConvNormActivation,none
features.17.conv.0.0.Conv2d,none
features.17.conv.0.1.BatchNorm2d,none
features.17.conv.0.2.ReLU6,none
features.17.conv.1.ConvNormActivation,none
features.17.conv.1.0.Conv2d,none
features.17.conv.1.1.BatchNorm2d,none
features.17.conv.1.2.ReLU6,none
features.17.conv.2.Conv2d,block17
features.17.conv.3.BatchNorm2d,block17
features.18.ConvNormActivation,none
features.18.0.Conv2d,block18
features.18.1.BatchNorm2d,block18
features.18.2.ReLU6,none
classifier.Sequential,none
classifier.0.Dropout,none
classifier.1.Linear,none
